Plant Name,Material Number,Material Description,Purchasing Group,Purchasing Grp. Name,Safety Stock,Material Group,Planned Delivery Time (Calendar Days),
IAW - WINDSOR PLANT,300000078,LB ODOR LOCK CB 25LB,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000079,LB MAXCARE UN 25LB,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000080,BAG ARTEMIS BONO BOX SC 25LB,2,ISABELLE PICARD,0,RG1000,120,
IAW - WINDSOR PLANT,300000081,BAG ARTEMIS BONO BOX UN 25LB,2,ISABELLE PICARD,0,RG1000,120,
IAW - WINDSOR PLANT,300000084,PAIL BLAIN UN 35LB,3,NANCY QUESSY,2200,RG4000,1,
IAW - WINDSOR PLANT,300000085,PAIL BLAIN SC 35LB,3,NANCY QUESSY,2200,RG4000,1,
IAW - WINDSOR PLANT,300000086,PAIL HEB ORIGINAL UN 35LB,3,NANCY QUESSY,10000,RG4000,60,
IAW - WINDSOR PLANT,300000087,PAIL HEB PRO SC 35LB,3,NANCY QUESSY,13000,RG4000,60,
IAW - WINDSOR PLANT,300000088,PAIL PSP UN 35LB,3,NANCY QUESSY,0,RG4000,60,
IAW - WINDSOR PLANT,300000089,PAIL PSP LA 35LB,3,NANCY QUESSY,0,RG4000,60,
IAW - WINDSOR PLANT,300000090,PAIL PSP FS 35LB,3,NANCY QUESSY,0,RG4000,60,
IAW - WINDSOR PLANT,300000091,LID SQ MAUSER 35LB,3,NANCY QUESSY,29120,RG4000,60,
IAW - WINDSOR PLANT,300000092,SQUARE LID TEAR STRIP WHITE IN BDL,3,NANCY QUESSY,6400,RG4000,1,
IAW - WINDSOR PLANT,300000095,BAG BOXIECAT SC 40LB - 152,1,MAGALIE SENECAL-J.,2925,RG1000,70,
IAW - WINDSOR PLANT,300000096,POLY BAG HEB ORIGINAL UN 20LB,1,MAGALIE SENECAL-J.,50000,RG1000,70,
IAW - WINDSOR PLANT,300000097,BAG BOXIECAT PRO UN 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000098,BAG CAT MAGIC SC 14LB,2,ISABELLE PICARD,8500,RG1000,120,
IAW - WINDSOR PLANT,300000099,BAG CAT MAGIC UN 14LB,2,ISABELLE PICARD,5500,RG1000,120,
IAW - WINDSOR PLANT,300000100,BAG CAT MAGIC LESS TRACK 14LB,2,ISABELLE PICARD,3000,RG1000,120,
IAW - WINDSOR PLANT,300000101,BAG CAT MAGIC CARBON UN 14LB,2,ISABELLE PICARD,5500,RG1000,120,
IAW - WINDSOR PLANT,300000102,BAG F&N SC 40LB,1,MAGALIE SENECAL-J.,1750,RG1000,70,
IAW - WINDSOR PLANT,300000103,BAG F&N SC 20LB,1,MAGALIE SENECAL-J.,1500,RG1000,70,
IAW - WINDSOR PLANT,300000104,BAG INTEGRITY CLUMPING UN 20LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000105,BAG INTEGRITY CLUMPING UN 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000106,BAG INTEGRITY MULTI UN 20LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000107,BAG INTEGRITY MULTI UN 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000108,BAG F&N UN 20LB,1,MAGALIE SENECAL-J.,2000,RG1000,70,
IAW - WINDSOR PLANT,300000109,BAG F&N UN 40LB,1,MAGALIE SENECAL-J.,4500,RG1000,70,
IAW - WINDSOR PLANT,300000110,BAG PSP UN 20LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000111,BAG PSP LA 20LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000112,BAG PSP FS 20LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000113,BAG PSP UN 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000114,BAG PSP LA 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000115,BAG PSP FS 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000116,BAG F4L CLMP MC LITTER 40LB,1,MAGALIE SENECAL-J.,4500,RG1000,70,
IAW - WINDSOR PLANT,300000117,BAG F4L CLMP UN LITTER 40LB,1,MAGALIE SENECAL-J.,2700,RG1000,70,
IAW - WINDSOR PLANT,300000118,BAG F4L CLMP OB 40LB,1,MAGALIE SENECAL-J.,2900,RG1000,70,
IAW - WINDSOR PLANT,300000121,BAG SIMPLE 40LB,1,MAGALIE SENECAL-J.,6000,RG1000,70,
IAW - WINDSOR PLANT,300000122,BAG PLAIN WHITE 40LB,1,MAGALIE SENECAL-J.,1500,RG1000,70,
IAW - WINDSOR PLANT,300000123,LB CAT MAGIC LESS TRACK UN 25LB,2,ISABELLE PICARD,5000,RG1000,120,
IAW - WINDSOR PLANT,300000124,PLAIN LID,3,NANCY QUESSY,0,RG4000,0,
IAW - WINDSOR PLANT,300000125,BOXIECAT EXTRA UN 16LB Bag - Exp - 146,3,NANCY QUESSY,0,RG1000,30,
