Material,Material Description,Plant,Plant Name,Storage Location,Description of Storage Location,Special Stock Type,Special Stock Type Description,Unrestricted Stock,Stock in Quality Inspection,Blocked Stock,Base Unit,
500000141,MIXER RECIPE 534-40,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,3169.002,0,0,KG,
500000093,BRABENDER RECIPE 122-52,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,2302.088,0,0,KG,
500000059,MIXER RECIPE 530-40,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,2185.907,0,0,KG,
500000050,MIXER RECIPE 516-52,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,2424.208,0,0,KG,
500000048,MIXER RECIPE 515-52,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,2501.102,0,0,KG,
500000044,MIXER RECIPE 511-52,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,13694.631,0,0,KG,
500000037,PROBIOTICS ON SUBSTRATE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,270,0,0,KG,
500000036,DILLUTED DUST SUPPRESSANT,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,6000,0,0,KG,
500000036,DILLUTED DUST SUPPRESSANT,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,225,0,0,KG,
500000035,SC STONE CAM. & ROSE (CR) 400KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,30,0,0,KG,
500000034,SC STONE OLLAV-CHAMOMILE (OC) 400KG,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,224,0,0,KG,
500000033,SC STONE HONEY SUCKLE (HS) 400KG TOTE,1710,IAW - WINDSOR PLANT,171C,Aisle 3,,,400,0,0,KG,
500000033,SC STONE HONEY SUCKLE (HS) 400KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,206,0,0,KG,
500000032,SC STONE NORDIC FOREST (NF) 400KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,145,0,0,KG,
500000031,SC STONE MANGO POME GRANATE (MP),1710,IAW - WINDSOR PLANT,171C,Aisle 3,,,800,0,0,KG,
500000031,SC STONE MANGO POME GRANATE (MP),1710,IAW - WINDSOR PLANT,171E,Production Stage,,,175,0,0,KG,
500000030,SC STONE FRESH BREEZE (FB) 400KG TOTE,1710,IAW - WINDSOR PLANT,171C,Aisle 3,,,1600,0,0,KG,
500000030,SC STONE FRESH BREEZE (FB) 400KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,350,0,0,KG,
500000029,SC STONE LAVENDER (LA) 400KG TOTE,1710,IAW - WINDSOR PLANT,171C,Aisle 3,,,1600,0,0,KG,
500000029,SC STONE LAVENDER (LA) 400KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,330,0,0,KG,
500000029,SC STONE LAVENDER (LA) 400KG TOTE,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,2400,0,0,KG,
500000028,SC STONE TC ORIGINAL 400 KG TOTE,1710,IAW - WINDSOR PLANT,171C,Aisle 3,,,2000,0,0,KG,
500000028,SC STONE TC ORIGINAL 400 KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,250,0,0,KG,
500000028,SC STONE TC ORIGINAL 400 KG TOTE,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,1600,0,0,KG,
500000027,SC STONE CHAMOMILE (CH) 400 KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,350,0,0,KG,
500000026,SC STONE FRESH STEP (FT) 400KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,291.523,0,0,KG,
500000025,SC STONE BABY POWDER (BP) 400KG TOTE,1710,IAW - WINDSOR PLANT,171C,Aisle 3,,,400,0,0,KG,
500000025,SC STONE BABY POWDER (BP) 400KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,415,0,0,KG,
500000025,SC STONE BABY POWDER (BP) 400KG TOTE,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,766,0,0,KG,
500000024,SC STONE HERBAL PINE (HP) 400KG TOTE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,75,0,0,KG,
500000024,SC STONE HERBAL PINE (HP) 400KG TOTE,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,1600,0,0,KG,
500000024,SC STONE HERBAL PINE (HP) 400KG TOTE,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,390.115,0,0,KG,
500000023,ODOR CONTROL ON BICARBONATE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,189,0,0,KG,
500000023,ODOR CONTROL ON BICARBONATE,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,308.236,0,0,KG,
500000023,ODOR CONTROL ON BICARBONATE,2912,ICN - NEWTON PLANT,291A,Zone A,,,1161,0,0,KG,
500000023,ODOR CONTROL ON BICARBONATE,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,567.307,0,0,KG,
500000023,ODOR CONTROL ON BICARBONATE,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,1000,0,0,KG,
500000023,ODOR CONTROL ON BICARBONATE,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,231.004,0,0,KG,
500000022,BLÜCARE 15G FOR MAXCARE (SB 5X88),1710,IAW - WINDSOR PLANT,171D,Aisle 4,,,7432,0,0,EA,
500000022,BLÜCARE 15G FOR MAXCARE (SB 5X88),2912,ICN - NEWTON PLANT,291A,Zone A,,,35571,0,0,EA,
500000022,BLÜCARE 15G FOR MAXCARE (SB 5X88),2915,ICS - ST-ALEXIS PLANT,291A,Zone A,,,3613,0,0,EA,
500000022,BLÜCARE 15G FOR MAXCARE (SB 5X88),2920,Blücare Laboratories inc.,291A,Unrestricted,,,3872,0,0,EA,
500000012,MIXER RECIPE 504-52,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,2303.205,0,0,KG,
400000031,SHIPPER BOX BLUCARE HEMATURIA 6X2X20G,2920,Blücare Laboratories inc.,291A,Unrestricted,,,4409,0,0,EA,
400000030,SHIPPER BOX 23 11/16 X17 13/16 X 11 9/16,2920,Blücare Laboratories inc.,291A,Unrestricted,,,66,0,0,EA,
400000029,"SHIPPER BOX 24""X20""X20""",2920,Blücare Laboratories inc.,291A,Unrestricted,,,282,0,0,EA,
400000028,CHEP INTERNATIONAL PALLET (40 X 48),2912,ICN - NEWTON PLANT,291B,Zone B,,,139,0,0,EA,
400000027,INFLATABLE SHIPPING BAGS 120'',2911,ICB - BOUCHERVILLE PLANT,291B,Zone B,,,350,0,0,EA,
400000027,INFLATABLE SHIPPING BAGS 120'',2912,ICN - NEWTON PLANT,291B,Zone B,,,2520,0,680,EA,
400000027,INFLATABLE SHIPPING BAGS 120'',2915,ICS - ST-ALEXIS PLANT,291B,Zone B,,,310,0,0,EA,
400000027,INFLATABLE SHIPPING BAGS 120'',2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,8,0,0,EA,
400000027,INFLATABLE SHIPPING BAGS 120'',2916,ICP - ST-ALEXIS WAREHOUSE,291A,Zone A,,,211,0,0,EA,
400000027,INFLATABLE SHIPPING BAGS 120'',2917,ICE - ETOBICOKE PLANT,291A,Zone A,,,1200,0,0,EA,
400000027,INFLATABLE SHIPPING BAGS 120'',2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,1900,0,0,EA,
400000026,INFLATABLE SHIPPING BAGS 96'',2911,ICB - BOUCHERVILLE PLANT,291B,Zone B,,,350,0,0,EA,
400000026,INFLATABLE SHIPPING BAGS 96'',2912,ICN - NEWTON PLANT,291B,Zone B,,,2660,0,860,EA,
400000026,INFLATABLE SHIPPING BAGS 96'',2915,ICS - ST-ALEXIS PLANT,291B,Zone B,,,305,0,0,EA,
